year,mujeres,hombres,total,fuente
1908,10.83,10.22,10.55,Human Mortality Database (HMD)
1909,10.17,9.73,9.97,Human Mortality Database (HMD)
1910,10.5,9.8,10.16,Human Mortality Database (HMD)
1911,10.49,9.86,10.19,Human Mortality Database (HMD)
1912,10.63,10.06,10.36,Human Mortality Database (HMD)
1913,10.71,9.86,10.3,Human Mortality Database (HMD)
1914,10.4,9.71,10.07,Human Mortality Database (HMD)
1915,10.8,9.91,10.37,Human Mortality Database (HMD)
1916,11.07,10.03,10.57,Human Mortality Database (HMD)
1917,10.42,9.6,10.03,Human Mortality Database (HMD)
1918,9.53,8.99,9.28,Human Mortality Database (HMD)
1919,10.36,9.51,9.96,Human Mortality Database (HMD)
1920,10.77,9.79,10.3,Human Mortality Database (HMD)
1921,11.08,9.99,10.56,Human Mortality Database (HMD)
1922,11.1,10.03,10.59,Human Mortality Database (HMD)
1923,11.05,9.96,10.54,Human Mortality Database (HMD)
1924,11.45,10.14,10.83,Human Mortality Database (HMD)
1925,11.37,10.04,10.74,Human Mortality Database (HMD)
1926,11.96,10.47,11.26,Human Mortality Database (HMD)
1927,11.42,10.14,10.82,Human Mortality Database (HMD)
1928,12.18,10.61,11.44,Human Mortality Database (HMD)
1929,11.93,10.52,11.28,Human Mortality Database (HMD)
1930,12.47,10.85,11.71,Human Mortality Database (HMD)
1931,11.76,10.43,11.14,Human Mortality Database (HMD)
1932,12.25,10.72,11.53,Human Mortality Database (HMD)
1933,12.26,10.8,11.58,Human Mortality Database (HMD)
1934,12.28,10.8,11.59,Human Mortality Database (HMD)
1935,12.62,11.04,11.89,Human Mortality Database (HMD)
1936,12.98,10.86,11.97,Human Mortality Database (HMD)
1937,12.23,10.17,11.24,Human Mortality Database (HMD)
1938,11.38,9.28,10.36,Human Mortality Database (HMD)
1939,11.66,9.68,10.72,Human Mortality Database (HMD)
1940,12.67,10.54,11.67,Human Mortality Database (HMD)
1941,11.46,9.05,10.3,Human Mortality Database (HMD)
1942,12.59,10.71,11.74,Human Mortality Database (HMD)
1943,13.66,11.78,12.82,Human Mortality Database (HMD)
1944,13.6,11.63,12.71,Human Mortality Database (HMD)
1945,14.23,12.16,13.31,Human Mortality Database (HMD)
1946,13.69,11.3,12.6,Human Mortality Database (HMD)
1947,13.81,11.79,12.91,Human Mortality Database (HMD)
1948,14.73,12.57,13.78,Human Mortality Database (HMD)
1949,14.15,12.01,13.2,Human Mortality Database (HMD)
1950,14.34,12.27,13.43,Human Mortality Database (HMD)
1951,13.36,11.41,12.49,Human Mortality Database (HMD)
1952,14.8,12.77,13.92,Human Mortality Database (HMD)
1953,14.45,12.5,13.6,Human Mortality Database (HMD)
1954,14.93,12.88,14.03,Human Mortality Database (HMD)
1955,14.76,12.75,13.88,Human Mortality Database (HMD)
1956,14.18,12.1,13.25,Human Mortality Database (HMD)
1957,14.29,12.15,13.34,Human Mortality Database (HMD)
1958,15.27,13.2,14.37,Human Mortality Database (HMD)
1959,15.18,12.97,14.2,Human Mortality Database (HMD)
1960,15.21,12.92,14.2,Human Mortality Database (HMD)
1961,15.65,13.38,14.65,Human Mortality Database (HMD)
1962,15.27,12.85,14.19,Human Mortality Database (HMD)
1963,15.29,12.89,14.22,Human Mortality Database (HMD)
1964,15.82,13.2,14.65,Human Mortality Database (HMD)
1965,15.84,13.3,14.71,Human Mortality Database (HMD)
1966,15.96,13.31,14.78,Human Mortality Database (HMD)
1967,16.02,13.33,14.81,Human Mortality Database (HMD)
1968,16,13.29,14.78,Human Mortality Database (HMD)
1969,15.59,12.83,14.34,Human Mortality Database (HMD)
1970,16.16,13.53,14.99,Human Mortality Database (HMD)
1971,15.77,12.89,14.46,Human Mortality Database (HMD)
1972,16.49,13.67,15.23,Human Mortality Database (HMD)
1973,16.18,13.38,14.92,Human Mortality Database (HMD)
1974,16.39,13.5,15.09,Human Mortality Database (HMD)
1975,16.49,13.62,15.19,"Tablas de Mortalidad (1975-2021), INE"
1976,16.63,13.7,15.31,"Tablas de Mortalidad (1975-2021), INE"
1977,16.94,14,15.62,"Tablas de Mortalidad (1975-2021), INE"
1978,17.11,14.13,15.77,"Tablas de Mortalidad (1975-2021), INE"
1979,17.5,14.4,16.11,"Tablas de Mortalidad (1975-2021), INE"
1980,17.71,14.6,16.32,"Tablas de Mortalidad (1975-2021), INE"
1981,17.82,14.64,16.4,"Tablas de Mortalidad (1975-2021), INE"
1982,18.19,15.01,16.77,"Tablas de Mortalidad (1975-2021), INE"
1983,17.99,14.83,16.58,"Tablas de Mortalidad (1975-2021), INE"
1984,18.38,15.04,16.89,"Tablas de Mortalidad (1975-2021), INE"
1985,18.25,14.89,16.75,"Tablas de Mortalidad (1975-2021), INE"
1986,18.49,15.19,17.02,"Tablas de Mortalidad (1975-2021), INE"
1987,18.81,15.39,17.28,"Tablas de Mortalidad (1975-2021), INE"
1988,18.87,15.41,17.31,"Tablas de Mortalidad (1975-2021), INE"
1989,19,15.46,17.4,"Tablas de Mortalidad (1975-2021), INE"
1990,19.04,15.43,17.4,"Tablas de Mortalidad (1975-2021), INE"
1991,19.23,15.57,17.57,"Tablas de Mortalidad (1975-2021), INE"
1992,19.62,15.88,17.92,"Tablas de Mortalidad (1975-2021), INE"
1993,19.63,15.84,17.9,"Tablas de Mortalidad (1975-2021), INE"
1994,19.9,16.09,18.16,"Tablas de Mortalidad (1975-2021), INE"
1995,19.98,16.1,18.2,"Tablas de Mortalidad (1975-2021), INE"
1996,20.08,16.16,18.28,"Tablas de Mortalidad (1975-2021), INE"
1997,20.26,16.3,18.44,"Tablas de Mortalidad (1975-2021), INE"
1998,20.22,16.22,18.37,"Tablas de Mortalidad (1975-2021), INE"
1999,20.2,16.17,18.32,"Tablas de Mortalidad (1975-2021), INE"
2000,20.56,16.61,18.74,"Tablas de Mortalidad (1975-2021), INE"
2001,20.83,16.81,18.97,"Tablas de Mortalidad (1975-2021), INE"
2002,20.87,16.86,19.01,"Tablas de Mortalidad (1975-2021), INE"
2003,20.76,16.83,18.93,"Tablas de Mortalidad (1975-2021), INE"
2004,21.23,17.22,19.37,"Tablas de Mortalidad (1975-2021), INE"
2005,21.11,17.13,19.25,"Tablas de Mortalidad (1975-2021), INE"
2006,21.67,17.7,19.83,"Tablas de Mortalidad (1975-2021), INE"
2007,21.67,17.64,19.79,"Tablas de Mortalidad (1975-2021), INE"
2008,21.83,17.94,20.02,"Tablas de Mortalidad (1975-2021), INE"
2009,22.1,18.12,20.24,"Tablas de Mortalidad (1975-2021), INE"
2010,22.41,18.4,20.54,"Tablas de Mortalidad (1975-2021), INE"
2011,22.53,18.55,20.67,"Tablas de Mortalidad (1975-2021), INE"
2012,22.43,18.51,20.59,"Tablas de Mortalidad (1975-2021), INE"
2013,22.84,18.92,21.01,"Tablas de Mortalidad (1975-2021), INE"
2014,22.92,19.06,21.11,"Tablas de Mortalidad (1975-2021), INE"
2015,22.65,18.79,20.83,"Tablas de Mortalidad (1975-2021), INE"
2016,23.05,19.14,21.21,"Tablas de Mortalidad (1975-2021), INE"
2017,22.97,19.12,21.15,"Tablas de Mortalidad (1975-2021), INE"
2018,23.07,19.22,21.25,"Tablas de Mortalidad (1975-2021), INE"
2019,23.4,19.52,21.57,"Tablas de Mortalidad (1975-2021), INE"
2020,22.31,18.35,20.41,"Tablas de Mortalidad (1975-2021), INE"
2021,23.07,19.03,21.15,"Tablas de Mortalidad (1975-2021), INE"
